,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,v_4sat,1,"B8,B11,B17,B20",4,4,"['B8', 'B11', 'B17', 'B20']"
1,v_4sat,2,"B8,C7",5,1,['C7']
2,v_4sat,3,B23,6,1,['B23']
3,v_4sat,4,"A15,B17,B19,B20,C10,C12,C19",11,5,"['A15', 'B19', 'C10', 'C12', 'C19']"
4,v_4sat,5,B19,11,0,[]
5,v_4sat,6,"A10,B8,C5",13,2,"['A10', 'C5']"
6,v_4sat,7,"B17,C10",13,0,[]
7,v_4sat,8,,13,0,[]
8,v_4sat,9,"B17,B20",13,0,[]
9,v_4sat,10,"A9,A15,C6,C19",15,2,"['A9', 'C6']"
10,v_4sat,11,"B7,B20,C2,C13,C18,C20",20,5,"['B7', 'C2', 'C13', 'C18', 'C20']"
11,v_4sat,12,,20,0,[]
12,n_4sat,1,"A7,B18,C15",3,3,"['A7', 'B18', 'C15']"
13,n_4sat,2,"A12,A21,A24,B12,C15",7,4,"['A12', 'A21', 'A24', 'B12']"
14,n_4sat,3,"A6,A13,B18,B20,B24",11,4,"['A6', 'A13', 'B20', 'B24']"
15,n_4sat,4,"A10,A23,A24,B3,B24",14,3,"['A10', 'A23', 'B3']"
16,n_4sat,5,"A8,A10,A12,A24,B18,B20,C15",15,1,['A8']
17,n_4sat,6,"A7,A10,A12,A13,A19,A22,B15,B18,B20",18,3,"['A19', 'A22', 'B15']"
18,n_4sat,7,"A4,A9,A10,A12,A22,B6,B11,B14,B24,C11",24,6,"['A4', 'A9', 'B6', 'B11', 'B14', 'C11']"
19,n_4sat,8,"A3,A10,A11,A14,A23,B1,B3,B6,B18,B20",28,4,"['A3', 'A11', 'A14', 'B1']"
20,n_4sat,9,"A7,A10,A14,A19,A20,A22,A24,B5,B18,C3,C6",32,4,"['A20', 'B5', 'C3', 'C6']"
21,n_4sat,10,"A7,A8,A13,A17,A18,A20,A22,B3,B10,B12,B18,C14",36,4,"['A17', 'A18', 'B10', 'C14']"
22,n_4sat,11,"A1,A2,A10,A12,A14,A18,A22,B5,B13,B18,C11,C15",39,3,"['A1', 'A2', 'B13']"
23,n_4sat,12,"A3,A7,A10,A12,A15,A17,A18,A20,A23,A24,B18,B20,C9,C11",41,2,"['A15', 'C9']"
24,q_4sat,1,"A6,A12,C19,C23",4,4,"['A6', 'A12', 'C19', 'C23']"
25,q_4sat,2,"A13,A15",6,2,"['A13', 'A15']"
26,q_4sat,3,"B10,C19,C23",7,1,['B10']
27,q_4sat,4,"A2,A4,A6,A7,A12,A13,A14,A17,A18,A19,A20,B18,B19,B20",18,11,"['A2', 'A4', 'A7', 'A14', 'A17', 'A18', 'A19', 'A20', 'B18', 'B19', 'B20']"
28,q_4sat,5,"A9,B4,B6,B10,B15,C14,C15,C16,C18,C20,C22,C23,C24",29,11,"['A9', 'B4', 'B6', 'B15', 'C14', 'C15', 'C16', 'C18', 'C20', 'C22', 'C24']"
29,q_4sat,6,"A2,A19,C12",30,1,['C12']
30,q_4sat,7,"A3,B7,C25",33,3,"['A3', 'B7', 'C25']"
31,q_4sat,8,"A2,A5,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C8",47,14,"['A5', 'B1', 'B2', 'B3', 'B5', 'B8', 'B9', 'B11', 'B12', 'B13', 'B14', 'B16', 'B17', 'C8']"
32,q_4sat,9,"A3,A6,A7,A10,B5,B8,C10,C11,C12,C13,C19,C21,C22,C23,C25",52,5,"['A10', 'C10', 'C11', 'C13', 'C21']"
33,q_4sat,10,"A6,A17",52,0,[]
34,q_4sat,11,"A5,A6,A7,A15,A17,C6",53,1,['C6']
35,q_4sat,12,"A12,A14,A20,C12,C21",53,0,[]
