,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,v_4sun,1,C11,1,1,['C11']
1,v_4sun,2,"B20,C16",3,2,"['B20', 'C16']"
2,v_4sun,3,"B19,B20",4,1,['B19']
3,v_4sun,4,"A15,B6,B7,B13,B19,B23,C18",10,6,"['A15', 'B6', 'B7', 'B13', 'B23', 'C18']"
4,v_4sun,5,"B23,C16",10,0,[]
5,v_4sun,6,"C9,C10",12,2,"['C9', 'C10']"
6,v_4sun,7,"A15,B20,C3,C8",14,2,"['C3', 'C8']"
7,v_4sun,8,"B20,C7",15,1,['C7']
8,v_4sun,9,"A9,C3,C7",16,1,['A9']
9,v_4sun,10,"B13,B17,B20,C2,C11,C20",19,3,"['B17', 'C2', 'C20']"
10,v_4sun,11,"B13,B19,B23,C7,C16",19,0,[]
11,v_4sun,12,"A13,A15,B11,B20,B22",22,3,"['A13', 'B11', 'B22']"
12,n_4sun,1,"C10,C15",2,2,"['C10', 'C15']"
13,n_4sun,2,"A10,A12,A23,B18",6,4,"['A10', 'A12', 'A23', 'B18']"
14,n_4sun,3,"A10,A11,A17,B19",9,3,"['A11', 'A17', 'B19']"
15,n_4sun,4,"A25,B5,B18,B20,B21,C10",13,4,"['A25', 'B5', 'B20', 'B21']"
16,n_4sun,5,"A10,A15,A22,A23,B15,B18,C8",17,4,"['A15', 'A22', 'B15', 'C8']"
17,n_4sun,6,"A10,A12,A14,A22,B3,B6,B12,B18,B20",21,4,"['A14', 'B3', 'B6', 'B12']"
18,n_4sun,7,"A12,A13,A24,B9,B15,B18,B20,C13,C15",25,4,"['A13', 'A24', 'B9', 'C13']"
19,n_4sun,8,"A12,A14,A23,A25,B5,B12,B15,B18,B20",25,0,[]
20,n_4sun,9,"A10,A22,A24,B3,B5,B10,B15,B18,C11,C15",27,2,"['B10', 'C11']"
21,n_4sun,10,"A13,A14,A21,A23,B2,B9,B15,B18,C10,C14",30,3,"['A21', 'B2', 'C14']"
22,n_4sun,11,"A11,A12,A18,A23,A24,B3,B18,B20,B24,C1,C11",33,3,"['A18', 'B24', 'C1']"
23,n_4sun,12,"A1,A10,A11,A18,A22,A24,B9,B17,B18,C13,C15",35,2,"['A1', 'B17']"
24,q_4sun,1,"A4,A6,A7,A18,B6,B7",6,6,"['A4', 'A6', 'A7', 'A18', 'B6', 'B7']"
25,q_4sun,2,B15,7,1,['B15']
26,q_4sun,3,"B10,B20,C17,C19,C20,C21,C22,C25",15,8,"['B10', 'B20', 'C17', 'C19', 'C20', 'C21', 'C22', 'C25']"
27,q_4sun,4,"A3,A6,A10,A14,A15,A17,A18,A20,B2,B3,B5,B8,B15,B20,C4,C9,C10,C11,C12,C19,C21,C25",30,15,"['A3', 'A10', 'A14', 'A15', 'A17', 'A20', 'B2', 'B3', 'B5', 'B8', 'C4', 'C9', 'C10', 'C11', 'C12']"
28,q_4sun,5,"A6,B10,B15,C12,C15,C25",31,1,['C15']
29,q_4sun,6,A17,31,0,[]
30,q_4sun,7,C22,31,0,[]
31,q_4sun,8,"A12,A20",32,1,['A12']
32,q_4sun,9,"A13,A18,C2,C16",35,3,"['A13', 'C2', 'C16']"
33,q_4sun,10,"A6,A7,A12,A18,B14",36,1,['B14']
34,q_4sun,11,"A5,A12,A17,A18,A20",37,1,['A5']
35,q_4sun,12,"A8,A11,C5,C12,C17,C20",40,3,"['A8', 'A11', 'C5']"
