,test,group_size,student_mistakes,total_mistakes,add_mistakes,add_mistake_ids
0,eic_7sat,1,"22,33",2,2,"['22', '33']"
1,eic_7sat,2,5,3,1,['5']
2,eic_7sat,3,,3,0,
3,eic_7sat,4,24,4,1,['24']
4,eic_7sat,5,22,4,0,[]
5,eic_7sat,6,5,4,0,[]
6,eic_7sat,7,,4,0,
7,eic_7sat,8,,4,0,
8,eic_7sat,9,32,5,1,['32']
9,eic_7sat,10,"9,35",7,2,"['9', '35']"
10,eic_7sat,11,"24,28",8,1,['28']
11,eic_7sat,12,,8,0,
12,mic_7sat,1,"4,14,22",3,3,"['4', '14', '22']"
13,mic_7sat,2,16,4,1,['16']
14,mic_7sat,3,,4,0,
15,mic_7sat,4,,4,0,
16,mic_7sat,5,22,4,0,[]
17,mic_7sat,6,,4,0,
18,mic_7sat,7,26,5,1,['26']
19,mic_7sat,8,35,6,1,['35']
20,mic_7sat,9,"4,6,14,21,25",9,3,"['6', '21', '25']"
21,mic_7sat,10,"25,34",10,1,['34']
22,mic_7sat,11,"15,16",11,1,['15']
23,mic_7sat,12,"20,22,31,33",14,3,"['20', '31', '33']"
24,ehw_7sat,1,"13,21,31",3,3,"['13', '21', '31']"
25,ehw_7sat,2,"21,39,43",5,2,"['39', '43']"
26,ehw_7sat,3,"17,37,39",7,2,"['17', '37']"
27,ehw_7sat,4,"22,24,33,39",10,3,"['22', '24', '33']"
28,ehw_7sat,5,"22,31,39,43,50",11,1,['50']
29,ehw_7sat,6,"9,12,38,39,43",14,3,"['9', '12', '38']"
30,ehw_7sat,7,"9,12,21,33,39,50",14,0,[]
31,ehw_7sat,8,"12,15,16,22,33,43,50",16,2,"['15', '16']"
32,ehw_7sat,9,"12,21,24,35,37,39,43,50",17,1,['35']
33,ehw_7sat,10,"13,21,22,30,31,33,37,39",18,1,['30']
34,ehw_7sat,11,"13,17,19,21,22,34,37,43",20,2,"['19', '34']"
35,ehw_7sat,12,"12,13,21,22,31,33,35,43",20,0,[]
36,mhw_7sat,1,,0,0,
37,mhw_7sat,2,A24,1,1,['A24']
38,mhw_7sat,3,"A29,A32,A35,A38",5,4,"['A29', 'A32', 'A35', 'A38']"
39,mhw_7sat,4,"A2,A10,A19,A20,A32,A50",10,5,"['A2', 'A10', 'A19', 'A20', 'A50']"
40,mhw_7sat,5,,10,0,
41,mhw_7sat,6,"A20,A31,A42",12,2,"['A31', 'A42']"
42,mhw_7sat,7,A38,12,0,[]
43,mhw_7sat,8,"A10,A13,A20,A32,A35,A39,A40",15,3,"['A13', 'A39', 'A40']"
44,mhw_7sat,9,A38,15,0,[]
45,mhw_7sat,10,"A8,A10,A38,A39,A48,A50",17,2,"['A8', 'A48']"
46,mhw_7sat,11,"A8,A24,A38,A42,A47,A48,A49,A50",19,2,"['A47', 'A49']"
47,mhw_7sat,12,"A1,A2,A3,A6,A8,A11,A17,A39,A45,A49",25,6,"['A1', 'A3', 'A6', 'A11', 'A17', 'A45']"
