eic_7sat	mic_7sat	ehw_7sat	mhw_7sat
"22,33"	"4,14,22"	"13,21,31"	
5	16	"21,39,43"	A24
22	22	"22,31,39,43,50"	
		"17,37,39"	"A29,A32,A35,A38"
	26	"9,12,21,33,39,50"	A38
5		"9,12,38,39,43"	"A20,A31,A42"
32	"4,6,14,21,25"	"12,21,24,35,37,39,43,50"	A38
24		"22,24,33,39"	"A2,A10,A19,A20,A32,A50"
	35	"12,15,16,22,33,43,50"	"A10,A13,A20,A32,A35,A39,A40"
"9,35"	"25,34"	"13,21,22,30,31,33,37,39"	"A8,A10,A38,A39,A48,A50"
"19,25"	"16,32"	"2,9,12,13,15,16,19,20,22,39"	"A20,A22,A31,A33,A37"
"24,28"	"15,16"	"13,17,19,21,22,34,37,43"	"A8,A24,A38,A42,A47,A48,A49,A50"
