eic_7sun	mic_7sun	ehw_7sun	mhw_7sun
	"16,19,22"	"12,13,39"	A10
		"12,21,31,43"	A2
		"22,31,37,39,43"	
"18,20,23,28"	16	39	"A10,A20,A22,A29"
"23,28"	"9,15,17,22"	"12,13,21,31,33"	
"3,6,7,32,35"	"22,31,35"	"12,13,21,31,39"	
"26,33"	"12,15"	"12,29,39,43,50"	A38
25	16	"12,16,34,43"	"A10,A42,A44,A50"
	"26,31"	"14,33,39,44,48"	"A8,A9,A10,A13,A38"
33	"15,21,22,27,31,36"	"9,10,12,15,24,29,30,33,35,39,45"	A18
	"6,22,25,26"	"12,13,31,37,43"	"A18,A19,A27,A37,A38,A39,A42,A44"
		"12,19,22,34,37,45"	"A10,A20,A27,A31,A32,A39,A42"
